trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,exit_reason,chain_idx,entry_residual,day
0,00:09,1767312540,short,25473.75,25474.5,-1.5,0,0.0,RM_PIVOT_TPSL,INVERSE,0,1.6371924877166748,2026_01_02
1,00:11,1767312662,long,25488.0,25491.5,7.0,1,8.5,RM_PIVOT_TPSL,INVERSE,0,-1.9558898210525513,2026_01_02
2,01:04,1767315841,short,25517.75,25520.75,-6.0,3,1.5,RM_PIVOT_TPSL,INVERSE,0,2.339409351348877,2026_01_02
3,01:55,1767318900,short,25545.5,25547.0,-3.0,0,0.0,RM_PIVOT_TPSL,INVERSE,0,1.961099624633789,2026_01_02
4,01:58,1767319080,long,25553.25,25552.5,-1.5,0,0.0,RM_PIVOT_TPSL,INVERSE,0,-2.0499091148376465,2026_01_02
5,02:15,1767320100,long,25572.5,25573.0,1.0,0,1.0,RM_PIVOT_TPSL,INVERSE,0,-1.6248983144760132,2026_01_02
6,02:35,1767321303,long,25590.5,25591.75,2.5,7,7.5,RM_PIVOT_TPSL,INVERSE,0,-1.9274827241897583,2026_01_02
7,03:17,1767323823,short,25601.75,25600.5,2.5,1,3.5,RM_PIVOT_TPSL,INVERSE,0,2.068988800048828,2026_01_02
8,03:29,1767324543,long,25602.75,25605.0,4.5,0,4.5,RM_PIVOT_TPSL,INVERSE,0,-1.7198163270950317,2026_01_02
9,03:51,1767325862,long,25621.0,25627.75,13.5,18,15.0,RM_PIVOT_TPSL,INVERSE,0,-1.928739070892334,2026_01_02
10,04:11,1767327060,long,25627.5,25628.25,1.5,0,1.5,RM_PIVOT_TPSL,INVERSE,0,-2.1525604724884033,2026_01_02
11,04:28,1767328084,short,25626.25,25625.75,1.0,0,1.0,RM_PIVOT_TPSL,INVERSE,0,1.7486931085586548,2026_01_02
12,05:08,1767330481,long,25623.5,25624.75,2.5,0,2.5,RM_PIVOT_TPSL,INVERSE,0,-1.7776143550872803,2026_01_02
13,05:48,1767332890,long,25627.75,25627.75,0.0,0,0.0,RM_PIVOT_TPSL,INVERSE,0,-1.844891905784607,2026_01_02
14,06:20,1767334810,long,25643.25,25637.25,-12.0,15,0.5,RM_PIVOT_TPSL,INVERSE,0,-1.7037270069122314,2026_01_02
15,07:46,1767339962,short,25638.0,25638.0,0.0,0,0.0,RM_PIVOT_TPSL,INVERSE,0,1.8185118436813354,2026_01_02
16,08:33,1767342784,long,25686.5,25688.75,4.5,9,13.0,RM_PIVOT_TPSL,INVERSE,0,-1.5402354001998901,2026_01_02
17,09:32,1767346327,short,25727.5,25725.0,5.0,15,9.0,RM_PIVOT_TPSL,INVERSE,0,1.757282018661499,2026_01_02
18,09:57,1767347821,short,25724.75,25732.0,-14.5,5,0.0,RM_PIVOT_TPSL,INVERSE,0,2.294111490249634,2026_01_02
19,10:15,1767348906,short,25725.5,25728.0,-5.0,4,0.0,RM_PIVOT_TPSL,INVERSE,0,1.6160683631896973,2026_01_02
20,10:31,1767349864,short,25716.75,25731.25,-29.0,20,17.5,RM_PIVOT_TPSL,INVERSE,0,1.7146077156066895,2026_01_02
21,11:05,1767351908,short,25734.5,25733.0,3.0,4,5.5,RM_PIVOT_TPSL,INVERSE,0,2.6293632984161377,2026_01_02
22,11:59,1767355140,long,25726.0,25726.5,1.0,0,1.0,RM_PIVOT_TPSL,INVERSE,0,-2.4371206760406494,2026_01_02
23,12:35,1767357300,short,25696.0,25692.5,7.0,1,8.5,RM_PIVOT_TPSL,INVERSE,0,1.7277227640151978,2026_01_02
24,14:30,1767364200,short,25680.75,25671.75,18.0,3,39.0,RM_PIVOT_TPSL,INVERSE,0,1.9536175727844238,2026_01_02
25,15:22,1767367320,short,25519.75,25495.5,48.5,1,67.5,RM_PIVOT_TPSL,INVERSE,0,2.1153738498687744,2026_01_02
