trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,exit_reason,chain_idx,day
0,23:59,1735825860.0,short,21419.25,21163.25,512.0,608,843.5,NMP_RIDE,end_of_day,0,2025_01_02
0,05:03,1735862940.0,long,21192.75,21218.0,50.5,294,129.5,NMP_RIDE,nmp_ride_inverse,0,2025_01_03
1,21:59,1735880580.0,short,21218.0,21490.25,-544.5,1016,16.5,NMP_RIDE,end_of_day,0,2025_01_03
0,23:59,1736118060.0,long,21524.25,21525.25,2.0,58,19.0,NMP_RIDE,end_of_day,0,2025_01_05
0,05:25,1736135220.0,short,21509.0,21540.0,-62.0,98,8.5,NMP_RIDE,nmp_ride_inverse,0,2025_01_06
1,14:16,1736141100.0,long,21540.0,21672.25,264.5,531,427.5,NMP_RIDE,nmp_ride_inverse,0,2025_01_06
2,23:03,1736172960.0,short,21672.25,21792.0,-239.5,527,31.0,NMP_RIDE,nmp_ride_inverse,0,2025_01_06
3,23:59,1736204580.0,long,21792.0,21771.25,-41.5,56,3.0,NMP_RIDE,end_of_day,0,2025_01_06
0,08:37,1736211360.0,short,21756.75,21735.0,43.5,461,164.5,NMP_RIDE,nmp_ride_inverse,0,2025_01_07
1,09:47,1736239020.0,long,21735.0,21734.75,-0.5,70,73.5,NMP_RIDE,nmp_ride_inverse,0,2025_01_07
2,23:59,1736243220.0,short,21734.75,21393.0,683.5,852,900.5,NMP_RIDE,end_of_day,0,2025_01_07
0,04:53,1736308980.0,long,21415.25,21391.5,-47.5,50,6.5,NMP_RIDE,nmp_ride_inverse,0,2025_01_08
1,10:01,1736311980.0,short,21391.5,21436.25,-89.5,308,57.0,NMP_RIDE,nmp_ride_inverse,0,2025_01_08
2,11:32,1736330460.0,long,21436.25,21322.0,-228.5,91,21.0,NMP_RIDE,nmp_ride_inverse,0,2025_01_08
3,23:59,1736335920.0,short,21322.0,21315.25,13.5,747,281.0,NMP_RIDE,end_of_day,0,2025_01_08
0,23:59,1736394660.0,short,21317.0,21238.0,158.0,1208,187.0,NMP_RIDE,end_of_day,0,2025_01_09
0,09:05,1736484900.0,long,21303.5,21258.25,-90.5,250,40.0,NMP_RIDE,nmp_ride_inverse,0,2025_01_10
1,21:59,1736499900.0,short,21258.25,20996.25,524.0,774,742.0,NMP_RIDE,end_of_day,0,2025_01_10
0,23:59,1736723160.0,short,20945.5,21000.25,-109.5,53,0.0,NMP_RIDE,end_of_day,0,2025_01_12
