trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,exit_reason,chain_idx,day
0,03:00,1735785000.0,short,21315.25,21324.0,-17.5,30,9.5,KILL_SHOT,kill_shot_timeout,0,2025_01_02
1,08:18,1735804980.0,short,21385.25,21404.5,-38.5,15,0.0,KILL_SHOT,kill_shot_no_progress,0,2025_01_02
2,16:53,1735836600.0,short,21343.25,21328.75,29.0,3,29.0,KILL_SHOT,kill_shot_peak,0,2025_01_02
0,02:39,1735784880.0,long,21318.25,21324.5,12.5,11,12.5,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_02
1,08:05,1735804920.0,long,21388.75,21403.25,29.0,3,29.0,KILL_SHOT_INVERSE,ksi_cluster_long_extension,0,2025_01_02
2,16:51,1735836540.0,long,21345.75,21355.5,19.5,2,19.5,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_02
0,06:14,1735884785.0,long,21229.0,21231.0,4.0,0,4.0,KILL_SHOT,kill_shot_inverse,0,2025_01_03
1,11:53,1735905120.0,long,21246.0,21247.25,2.5,1,2.5,KILL_SHOT,kill_shot_inverse,0,2025_01_03
2,12:15,1735906440.0,short,21233.0,21226.75,12.5,1,12.5,KILL_SHOT,kill_shot_peak,0,2025_01_03
3,14:06,1735912440.0,long,21242.25,21251.25,18.0,12,18.0,KILL_SHOT,kill_shot_peak,0,2025_01_03
0,06:14,1735884720.0,short,21226.0,21231.0,-10.0,2,0.0,KILL_SHOT_INVERSE,kill_shot_inverse_inverse,0,2025_01_03
1,11:53,1735905060.0,short,21242.25,21247.25,-10.0,2,0.0,KILL_SHOT_INVERSE,kill_shot_inverse_inverse,0,2025_01_03
2,12:04,1735905660.0,short,21238.5,21228.5,20.0,3,20.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_03
3,12:28,1735906380.0,long,21234.75,21229.5,-10.5,15,0.0,KILL_SHOT_INVERSE,kill_shot_no_progress,0,2025_01_03
4,13:57,1735912380.0,short,21236.75,21231.75,10.0,4,10.0,KILL_SHOT_INVERSE,ksi_cluster_short_extension,0,2025_01_03
0,10:44,1736160120.0,short,21679.75,21674.0,11.5,2,11.5,KILL_SHOT,kill_shot_peak,0,2025_01_06
1,18:04,1736186580.0,long,21769.75,21777.25,15.0,1,15.0,KILL_SHOT,kill_shot_peak,0,2025_01_06
0,06:25,1736143680.0,short,21533.25,21541.5,-16.5,17,3.0,KILL_SHOT_INVERSE,kill_shot_no_progress,0,2025_01_06
1,10:56,1736160060.0,long,21681.75,21665.0,-33.5,15,0.0,KILL_SHOT_INVERSE,kill_shot_no_progress,0,2025_01_06
2,12:13,1736165340.0,short,21724.5,21723.5,2.0,4,21.0,KILL_SHOT_INVERSE,ksi_cluster_short_extension,0,2025_01_06
3,18:17,1736186520.0,short,21768.0,21763.0,10.0,15,10.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_06
0,23:29,1736378040.0,short,21337.0,21341.0,-8.0,15,4.0,KILL_SHOT,kill_shot_no_progress,0,2025_01_08
0,23:24,1736377860.0,long,21338.5,21345.0,13.0,13,13.0,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_08
0,13:45,1736429820.0,short,21330.75,21323.75,14.0,8,14.0,KILL_SHOT,kill_shot_peak,0,2025_01_09
0,10:46,1736419380.0,short,21323.5,21316.25,14.5,3,14.5,KILL_SHOT_INVERSE,kill_shot_peak,0,2025_01_09
