trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,exit_reason,chain_idx,day
0,23:59,1735774740.0,long,21268.75,21267.5,-2.5,20,0.0,MTF_BREAKOUT,end_of_day,0,2025_01_01
0,11:45,1735805940.0,long,21407.0,21428.75,43.5,206,43.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_02
0,06:17,1735880640.0,long,21220.0,21235.5,31.0,73,31.0,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_03
1,14:49,1735914840.0,short,21332.0,21364.5,-65.0,15,6.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_03
2,15:05,1735915800.0,long,21381.5,21425.75,88.5,15,88.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_03
0,08:28,1736151660.0,long,21577.5,21574.25,-6.5,7,12.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_06
1,16:48,1736175540.0,long,21818.75,21850.0,62.5,109,149.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_06
2,18:25,1736185380.0,long,21793.0,21783.5,-19.0,42,4.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_06
3,20:25,1736190180.0,long,21692.0,21725.75,67.5,82,68.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_06
4,20:52,1736196660.0,long,21730.5,21734.25,7.5,1,7.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_06
0,04:36,1736218920.0,long,21727.0,21726.25,-1.5,94,50.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_07
1,14:09,1736258580.0,short,21792.25,21789.0,6.5,6,11.0,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_07
2,14:44,1736260620.0,long,21735.75,21765.75,60.0,7,60.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_07
3,15:03,1736262120.0,long,21635.75,21647.5,23.5,1,23.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_07
4,20:50,1736282280.0,long,21296.25,21362.5,132.5,12,132.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_07
0,07:36,1736321040.0,long,21371.0,21377.5,13.0,12,21.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_08
1,08:20,1736322240.0,long,21379.75,21410.75,62.0,36,65.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_08
2,11:35,1736335980.0,long,21329.25,21341.25,24.0,2,24.0,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_08
3,18:01,1736357160.0,long,21250.0,21281.25,62.5,35,79.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_08
0,08:05,1736409180.0,short,21258.0,21234.5,47.0,12,64.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_09
1,08:20,1736409960.0,long,21240.5,21258.0,35.0,14,35.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_09
0,10:40,1736489050.0,long,21293.25,21311.0,35.5,275,35.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_10
1,12:06,1736507640.0,short,21360.75,21282.5,156.5,52,158.0,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_10
2,19:05,1736535600.0,short,21157.0,21091.75,130.5,5,130.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_10
0,15:30,1736779500.0,short,20749.25,20750.0,-1.5,45,61.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_13
1,18:00,1736790060.0,long,20833.0,20880.5,95.0,19,112.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_13
0,09:11,1736821380.0,short,21017.25,21108.75,-183.0,408,8.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_14
1,11:25,1736846100.0,short,21109.5,21055.25,108.5,130,108.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_14
2,13:35,1736861160.0,long,20951.0,21083.0,264.0,9,346.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_14
3,19:52,1736882400.0,short,20994.0,20937.25,113.5,32,113.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_14
0,06:31,1736917445.0,long,20940.0,20947.5,15.0,86,19.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_15
1,06:48,1736923080.0,short,20954.0,20951.75,4.5,10,7.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_15
2,10:18,1736934360.0,short,20962.0,20940.5,43.0,32,47.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_15
3,11:55,1736941680.0,short,20999.0,21007.25,-16.5,7,13.0,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_15
0,08:05,1737008160.0,short,21390.25,21535.0,-289.5,109,0.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_16
1,08:13,1737014760.0,long,21536.0,21516.25,-39.5,7,0.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_16
2,23:01,1737063900.0,long,21211.0,21224.75,27.5,76,27.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_16
0,08:01,1737100620.0,long,21274.5,21287.0,25.0,4,27.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_17
1,13:42,1737120900.0,short,21485.0,21498.0,-26.0,7,24.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_17
2,14:35,1737124140.0,short,21646.25,21582.5,127.5,6,180.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_17
0,01:20,1737335160.0,short,21568.0,21546.25,43.5,14,43.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_20
1,08:14,1737354780.0,short,21582.75,21631.75,-98.0,101,7.5,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_20
2,13:35,1737375660.0,long,21596.5,21635.75,78.5,74,111.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_20
0,10:00,1737451080.0,long,21666.25,21710.5,88.5,42,88.5,MTF_BREAKOUT,mtf_cluster_long_extension,0,2025_01_21
1,10:51,1737453840.0,short,21718.25,21704.25,28.0,47,32.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_21
2,14:38,1737461400.0,short,21664.25,21632.75,63.0,148,63.0,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_21
3,14:55,1737470940.0,short,21651.0,21620.75,60.5,6,134.5,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_21
0,06:25,1737524225.0,short,21859.0,21854.25,9.5,47,12.0,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_22
1,16:00,1737558240.0,long,22008.25,21991.75,-33.0,56,65.0,MTF_BREAKOUT,mtf_cluster_short_extension,0,2025_01_22
2,17:48,1737567960.0,long,22056.5,22061.0,9.0,2,9.0,MTF_BREAKOUT,mtf_breakout_inverse,0,2025_01_22
